Review,Star,Sentiment
"
It's like outback steakhouse, but much more over priced.

240z Delmonico - Tough and flavorless
Mashed potatoes - Excellent
Lobster Corn dogs - Nothing to write home about
Bread & butter - good, very high quality butter",2,Neutral
"
Couldn’t make a basic meal good.",2,Negative
"
Above-average for a chain, not chef food.",2,Neutral
"
Food was not good at all.. and insanely expensive.",2,Negative
"
I tried a bite of steak from everyone at my table and had the dry aged new york strip myself, everything just tasted bland. It was decent but definietly not $100+/steak good.  Our table was in the middle of the dining room and it had to be atleast 110 degrees where we were sitting. Everyone at the table had to take their sweaters off and go outside at least once during the meal just to cool down a bit.",3,Negative
"
The attention from the servers and the steaks themselves were outstanding.  But the rest of the dishes were not up to par for a steakhouse at this level.  The braised pork belly appetizer was a little under done.  Safe to eat, but not as savory as it could have been.  Rather gummy and bland.  The wedge salad was a from a small, sad head of lettuce.  The salad, the plate, and the fork was all room-temperature and not chilled as they should have been.  Brussel sprouts were very good.  Asparagus, mushrooms, and mashed potatoes were average.  It certainly wasn't a bad experience.  But at this price point, it wasn't what it should have been.",3,Neutral
"
I've been here multiple times and really enjoyed it but my most recent visit left a bad taste in my mouth and I don't know the next time I'll be back. The server was somehow both rushing us but also seemed to take forever on anything- I really don't mind things taking a while especially in a fine dining restaurant but being rushed simultaneously was a little stressful.

The Caesar salad was disappointing- the lettuce was nearly wilted and was lacking dressing.

The weirdest part was that I only got soda water to drink and was not only charged for it, but charged for refills as well? I'm not cheap but I've never been charged for soda water before and especially not refills...

Overall it was a bit of a disappointing experience but the company was wonderful and for that it was worth it.",3,Neutral
"
I came here on Valentine’s Day. Our reservation was at 9:15, we were seated around 30 minutes later. The restaurant was busy, we had to either get a drink from the bar or stand in front until we were called. We sat next to the window and were able to smell people smoking outside of the restaurant. It was gross. When we were brought back, we ordered a shrimp appetizer that was great, and ordered salmon and king crab legs for entrees. The cost of the crab legs would have made me think that they take the meat out of the shell at the table side, but they didn’t. We ordered garlic mashed potatoes as a side. It was dark, and tasted like it had been in the warmer all day and was overcooked, almost burnt. We were also celebrating my birthday so they gave us a free dessert. We ordered the mango sherbet which was a plus. For the cost of this restaurant, there is a lot of room for improvement. Our food was okay, the smell of cigarettes almost  made me lose my appetite. Overall, not as great as the previous reviews had mentioned.",3,Negative
"
Fantastic atmosphere and top notch service. Very large restaurant but it did not feel like it. We were seated in a 2 person booth near the bar which was fantastic. Our apps, mains, and drinks were all cooked/prepared to perfection, but there was one glaring issue in our minds. The level of salt used on the steaks and sides was out of control and overpowering. It was to the point where we left somewhat disappointed, especially after the experience in general was fantastic. If this place wants to compete with Capital Grille and the like at their price point, they will need to get this under control. Everything would have been 5 stars if they would remove the absurd amount of salt from everything. Hope to hear they figure this out soon and we will be back!",3,Neutral
"
Steak really was not done MR but 2nd one wasn't much better.....cook went home?",3,Negative
"
I’m giving this restaurant a 3. The food was good but VERY overpriced what was offered that’s maybe why the restaurant was empty on a Saturday evening. The service and and atmosphere was excellent.",3,Neutral
"
Old fashioned steakhouse done right.  The wedge salad was excellent, with the right amount of chunky bacon and just the right amount of blue cheese on the lettuce and the tomatoes were exceptional.

The rib eye medium was the right temperature with a nice crust and well seasoned.   The side of French fries could easily serve two.

The classic vodka martini slightly dirty with blue cheese olives was excellent - the cheese in the olives was very unique and really good.

Sat at the bar and noticed much more prompt and attentive service at the tables.   At the tables, they parade the steaks and explain the specials etc which you don't get at the bar, understandably.   Would visit again when in town.",4,Positive
"
Service was really good, waiter, host and other staff walking around were all very nice and attentive. Food was pretty good but not the best I've had from the other steak spots downtown and the sides were kind of small. Still a really nice dinner. I also like the meat cart they brought around so you see all the meats before ordering. We ordered the 12oz filet mignon with truffle butter, 24oz Delmontico with bone marrow butter (very herby) , scalloped potatoes, cream spinach and the lemon bar dessert. The filet mignon and scalloped potatoes were delicious.",4,Positive
"
Make sure you find out the market price for seafood before purchase. The place was great. Drinks were strong. Restroom are clean. Free peppermints at the entrance. Just take one.",4,Positive
"
I have been a guest at the 801 for years and was so happy to see it came to Minneapolis.   I wasn't disappointed t all.  The staff was spot on and so attentive.   They paid so close attention to our requests an addressed the multiple celebrations had.  801 is top notch and others need to take note.",4,Positive
"
It was my sister's birthday and the restaurant did a great job with decorating the table, a signed menu, and a free dessert. The appetizers, down home shrimp and crab cake, were delicious. Our favorite was the down home shrimp. Our entrees, the New York strip with truffle butter and apple pork chops, were good but overall very salty. Our side of French fries potatoes was a large plateful and great quality. The dinner ended with a delicious creme brulee dessert. Overall, a fantastic meal, but the meat was somewhat disappointing.",4,Positive
"
Well actually it's more like a 4.6! Service was excellent, Ny Strip steak and Lobster top notch, the shrimp appetizer with the Guinness brown sugar ""gravy"" and mashed potatoes was unique and excellent. The Asparagus was kind of sugary sweet and a tender to the point of being overcooked. They are an excellent addition to the downtown steakhouse scene.",4,Positive
"
A great new addition to Nicollet Mall! Great food, excellent service and a great elegant atmosphere. Lots of great choices on the menu. The only down side is their dessert menu which seems to be lack luster and does not match the rest of the menu.

Besides that, you can't go wrong by dining here. Perfect place for business meeting, date night or a get together with friends.",4,Positive
"
Beautiful interior design. Great service and hospitality. It's a newer establishment that's been open for about month or so. The ribeye was cooked perfectly but could have been seasoned better.",4,Positive
"
The steak was decent but this place offers a fantastic happy hour.",4,Positive
"
Gotta experience it at least once",4,Positive
"
Very good food.",4,Positive
"
We had an absolute amazing time during our trip to 801 Chophouse. The service was out of this world phenomenal. We did not know what to expect coming in but all agreed that this was a great choice.

We called about 30 minutes before we arrived and the staff went out of their way to find us table. The meal was to die for and mouthwatering. Will be back next time we are in town.",5,Positive
"
Great steak!
I came for dinner to have ribeye steak and some dessert.
The hostesses were very pleasant and polite.
My server was very professional - I received just the right amount of attention without being bothered, but also felt cared for and that I don't wait for a long time to ask questions or get my table cleared from dirty dishes (my biggest pet peeve in restaurants).
The steak was just perfection - I mean, I do expect perfect steak at the steak house, where I pay for it >$80, but still. I really enjoyed it, and it didn't disappoint.
I wasn't planning on getting the dessert, but Creme Brulee sounded amazing, and it was heavenly :)
The decor of the restaurant was a bit too formal for my taste but very pleasing, with the art wall bringing the element of fun and interest.",5,Positive
"
Came here to celebrate a milestone birthday dinner and it was more than perfect! I arrived a lot earlier than my reservation but was still able to get seated right away. The table was decorated for this special occasion.

Ordered the ribeye and the prime rib and I would definitely go back for more prime rib! It was delicious and the best I’ve had compared to other places.

For dessert we go to choose from the dessert list as a complimentary birthday dessert. The sugar coat on top for the crème brûlée was too thick in my opinion, but it was still very good.

Our server was great and funny but it took 30+ mins after seating to order. He did push out a cart full of their cuts so you can see.",5,Positive
"
The level of detail the waiter extended to describe each cut of meat was impeccable, the service was exemplary for our party (and friend celebrating his birthday), and the menu options as well as the preparation is a step above the closest (aka across the street) competitor. The cuts of delmonico, prime rib, and mishima were breath taking. Definitely will return.",5,Positive
"
I was looking for a high quality dinner in a short walking distance from my hotel. I found it at @801chophousemsp attentive and knowledgeable staff. Steak tartare, Colorado lamb chops and broccolini were just right. Definitely happy with my choice.",5,Positive
"
My absolute favorite place to eat downtown. Went to the one in Des Moines Iowa years ago and was so happy when they open one in Minneapolis I feel years back. Everything is top of the line. The presentation of the meats in the explanation is our family's favorite. We will be going back many times and honestly don't feel a need to go anywhere else when I want a steak downtown.",5,Positive
"
My husband made a reservation for us back in July to celebrate our wedding anniversary and it was a marvelous experience and time! The restaurant is stylish romantic and just stunning! The staff was very friendly and especially our excellent waiter! The food was great and the cheesecake dessert speaks for itself! They definitely make occasions here feel extra special! Will definitely be coming back!",5,Positive
"
So we got into town and decided to come and check 801 out. Well I have to tell you that my wife and I travel around the country 8 months out of the year and we always try at least two of the top steak houses while we are in town. With that said this place is very good. From the moment we walked in the hostess was very welcoming and got us right to our table and at the table they had confetti on the table for my wife’s birthday. What a nice surprise. Our server was excellent and gave use the a-z tour of the menu and the history of the restaurant. The cuts of meat were amazing. I had the double bone in pork chop that was cooked to perfection. My wife had the 5 oz filet that was so tender and juicy. We did half portions of the mashed potatoes and the cream corn that we could have eaten way more it was so delicious. For dessert they brought her out a little baked Alaskan. If you are ever in town please check this place out you will be happy that you did. We will be going back this coming weekend to try some other stuff",5,Positive
"
I have been here for almost a week and have tried other steakhouses in the area and this is by far THE BEST steak I have had here! I ordered the ribeye and it was very juicy and had amazing flavor! If you are looking for the best steak, you must come here. I’m from Texas where we have some of the best steaks in town and this place surpassed that!",5,Positive
"
This was hands down the best meal and experience we have had in a very long time.  Our food was exceptional in very way.. texture, flavor, temperature and presentation.  Chef Lawrence is a culinary master and was kind enough to to come to our table and spend time with us.  We felt so special.

Our waiter Patrick made my husband’s birthday one to remember… The ambiance was one of  a warm and welcoming environment of class and sophistication. Patrick introduced each premium cuts of meats; describing what each of them have to offer.  Our mouths were watering in expectation of our meals.  It DID NOT DISAPPOINT.  The steak and lobster melted in mouths and had such flavor.

I don’t want to leave too long a review; but I don’t have enough words to thank them for a wonderful birthday of such service and food.

We will be back as often as we can.",5,Positive
"
Traditional steakhouse feel. Dry aged porterhouse for 2 was very good, good dry aged flavor, and cooked as desired. Mussels as starter was also tasty. Service was good.  Would go back.",5,Positive
"
Service was great.
Food was great.
Porterhouse was cooked perfectly.
The lobster tail was a bit overdone and stuck to the shell.  It was hard to get the meat from it.",5,Positive
"
For us there is only ONE place to go for steak and seafood in Minneapolis... 801 is the top of the mark. There may be others that claim the crown... They are all well below the King, 801",5,Positive
"
Nice cut of steak! Meat was tender and very flavorful. Hash browns, Mac and cheese and green beans were nice side options.  Service was good!",5,Positive
"
Great steak experience!  Had the Waygu Tomahawk and amazing sides.  Great beans were my favorite!  Desserts were so good as well.",5,Positive
"
Eat here every time we come into the cities. Great atmosphere, friendly staff. Casual wear is acceptable. Cannot go wrong with the cream corn or hashbrowns as a side!",5,Positive
"
We have been here multiple times and it’s never disappointed. My go-to steakhouse in Minneapolis, mainly for the blue cheese potatoes that I’ve never seen at another steakhouse. The porterhouse is great to share and the drinks are very good and balanced. We come here for every special occasion.",5,Positive
"
My husband and I stumbled across the 801 Chophouse about a year ago, during a wedding weekend for friends.  This is now our entire family's favorite restaurant, in MN, hands down.  We have been to many fine steakhouses across the U.S. and this is definitely  one of our favorites! The service and atmosphere is amazing and the food is spectacular.  The cost is on the higher side, but it's worth it!",5,Positive
"
Jorge was amazing. Me and my wife first time here. We are from Atlanta celebrating our 22nd wedding anniversary. The food was perfect.",5,Positive
"
The 801 Chophouse provided a delicious meal and a fun experience. My 24 Oz Prime Rib was cooked perfectly. Our waiter, David, was excellent and really gave us a great experience. The presentation of steaks was educational and fun. The table was set up for my birthday with confetti and a special signed menu from the staff. After the meal, David bought me a dessert soufflé which was also delicious.",5,Positive
"
I love the decor and high ceilings ambiance. Great craft cocktails. Food is amazing and chef desserts are delicious. The staff is kind and down to earth. The server had so many great recommendations. I will be back!",5,Positive
"
Excellent! The entire experience was best-in-class from start to finish. The server was friendly, informative and attentive. The food was amazing. I highly recommend the Fellers Ranch Wagyu New York Strip! Thank you for the great service and evening! I would definitely come back!",5,Positive
"
We stopped by the former Barnes and Noble location for Happy Hour and to see what was going on in here. The food and service are as close to perfect as exists in Minneapolis. The Oysters Rockefeller are extraordinary. They serve very fresh (large) poached bluepoint oysters with a considerably better than average Rockefeller treatment (bacon, cheese, and spinach) with fresh Hollandaise. Superb - they rank among the best we’ve ever had anywhere. Their drinks were made extremely well (try the house martini) and our waiter was charming, accommodating, and informative. We also enjoyed our very fresh lobster tail, shrimp cocktail, and lobster Mac and cheese.  We loved the deserts; which were Baked Alaska and Creme Brûlée.

This is a cavernous space with great meeting rooms. I can imagine hosting wonderful client dinners from a dozen to fifty people in these cool, well appointed rooms, complete with large screen monitors.

My only minor criticism is that Happy Hour prices are honored only while sitting at the bar.  Since we wanted to talk within our group of five, we requested a table and enjoyed our time. This may have only cost us a couple of dollars per drink, but given there were many empty tables available, it seemed slightly petty. Good experience, we’ll be back! Maybe we’ll sit at the damn bar.",5,Positive
"
I took my fiancé here for his birthday dinner and from start to finish this was an excellent experience. We were running about 30 minutes late of our reservation because our gps was giving us the run around but we were still very much welcomed when we arrived. The staff was quite understanding.The table was decorated with birthday confetti  as well as the menus having Happy Birthday on it. They also include a menu to take home that is signed by the staff. I mean it is all so thoughtful and nice.The restaurant is beautiful! The staff very warm and friendly. We were even given a little tour of the restaurant at the end when we mentioned how beautiful the place was. This food was delicious and everything came out in good time. Overall we thoroughly enjoyed it and will definitely come back again in the future. We highly recommend this restaurant.",5,Positive
"
EXCELLENT. I was randomly craving a Brandy Alexander, which can be a difficult drink without the proper resources. But the bartender made it work! Couldn't have been happier. Great atmosphere. Very chill for a bar in the middle of the CBD",5,Positive
"
I am not authority in steakhouses, I will admit. That being said, this was the best experience I've ever had at a steakhouse. Our server Alex was very knowledgeable about the meat as well as the wine. The dry aged steak with foie gras was to die for, as were the fries which were fried in beef tallow. Paired with a 2016 Gaja. Truly magical",5,Positive
"
I love this place... they explain the different steaks very well and how they should be cooked. Waygu is the best steak ive ever ate.",5,Positive
"
We dined here for the first time to celebrate our anniversary. Every staff member we encountered, from valet to server, was friendly and approachable. The old fashioneds at the bar were delicious and AJ, the bartender, was great to talk to. My New York strip steak with the mushroom sauce add-on was the best I’d ever had! We will definitely be coming back for our next special occasion dinner!",5,Positive
"
Fantastic food.  Outstanding service!  Bailey, Chadwick, and Billy went above and beyond to make the night special for our family.  Can't wait to return.",5,Positive
"
Absolutely hands down the best steak house in the twin cities!!! A total must!!!  The steak selection is incredible and they cook them to perfection. All of the sides are magnificent and the desert is mind blowing. We had a server by the name of Chadwick who was kind, informative, and had extremely good vibes  He made our dining a true experience.!!",5,Positive
"
Excellent service, our server was very knowledgeable on the menu and history of the restaurant
Fast service and the steak was spot on! Tender, juicy, flavorful!
We ordered a side of Scallop potatoes so creamy! Definitely will be back",5,Positive
"
Phenomenal steaks. The flavor and temp were perfect.  Have not had a better steak in Minneapolis! Hands down, the best!",5,Positive
"
Absolutely lovely restaurant. Our server, Bailey, was attentive and well-informed about the menu. Drinks were delicious and strong. The steaks were impeccable! We also had the mussels, oysters, mashed potatoes, and fries, yum! The bar is gorgeous and the whole atmosphere is very old school downtown steakhouse. Perfect for a special occasion!",5,Positive
"
All I have to say is 801 destroyed my favorite Minneapolis steakhouse.  This is now my go to when I'm here.  Great staff and the best steak.",5,Positive
"
I love this place !! One of the best steak places here and Minnesota there isn’t many !!! The service was great I can eat here over and over ☺️",5,Positive
"
Been wanting to try this place out since it opened.  I gave it a shot yesterday. I have to say they make really good steaks! I have the filet medallions and crab claws. The steak was cooked perfect.",5,Positive
"
We went to 801 Chophouse for the first time on our anniversary and it was EXCELLENT! Everything from the drinks, to the food, and especially the service from Bob, made our experience so personalized and memorable. Highly recommend and we will definitely be back.",5,Positive
"
The greeting at the door was perfect. The wait staff were the epitome of professionalism. And then there was the food!! Cooked to perfection and served immaculately. The whole experience easily fits into my all-time top three meal experience. Thank you, everyone.",5,Positive
"
I loved everything about this restaurant. The staff was gracious and the food was outstanding. One of my best steakhouse experiences ever. Bravo!",5,Positive
"
Wonderful steakhouse. Had a phenomenal ribeye that was prepared to perfection with a side of their green beans. The beans were crisp flavorful with slices of onions and chunks of bacon accompanying them. Our server, Bailey, was excellent as well.",5,Positive
"
Abosutley wonderful experience overall. Service went above and beyond and was very helful even during the dinner rush. Food came out quickly and the quality was awesome. I would definitely come back again.",5,Positive
"
One of the most excellent meals we ever had. Can't wait to go back. Everything from the food, cocktails, menu options, to service was simply top notch.",5,Positive
"
Great service the hostess and the waiters were great throughout the the time there. My 8 and 6yr thought bathrooms were fancy want to have their family dinner here. Everyone loved their steak and experience. Can't wait to go back!!!!!",5,Positive
"
Incredible! Absolutely my new favorite place in Minneapolis
Sophisticated, amazing waiters, staff was warm and welcoming, food was absolutely delicious and so was my date",5,Positive
"
Every person greets you with a smile and hello from the time you walk in the door until you are seated. Excellent menu selection s, flawless service and great atmosphere. My favorite place to eat in the Minneapolis-St.Paul area BY FAR. It means a lot to have so much attention to detail devoted to a pleasurable dining experience. It's quite apparent that all of the staff truly enjoy their jobs. It's the mark of a quality driven place of business. Every meal we've had there has been above and beyond. It's the only place I will go for dinner when I'm in the area from now on. Can't wait to go back.",5,Positive
"
I loved the ambiance of and set up of the restaurant.  The waiter Patrick who served us was phenomenal. It was my sister's birthday and he treated her like a queen the whole night. The staff including the valet also provided great customer service.  I will be patronizing this restaurant in the future.",5,Positive
"
Amazing meal, one of the best steaks I’ve ever had, oysters were perfect, wine selection is phenomenal, appetizers and sides were delicious. Highly recommend. Server was absolutely amazing, and the team of servers could not have been more attentive. Not a place for a casual night out, but you get your money’s worth.",5,Positive
"
An incredible experience from the moment you walk in the door until long after the meal is complete. It is clear that 801 Chophouse VALUES you as an individual and your dining experience. The standard of quality is unmatched in service and product. Our party had numerous dishes both fresh and standard menu and everything exceeded expectations. Ask for Patrick on service and make sure to speak with Assistant Manager Minh to learn all the restaurant has to offer. Thank you to the entire 801 family!!",5,Positive
"
Awesome experience. First time having lamb chops. Yummy 😋 🤤",5,Positive
"
Champagne by the glass? Yes, amazing. The food here is a cut above. They only serve USDA Prime ELITE and Wagyu steaks, no other steakhouse can compare. Veteran service staff with all the polish and charm.",5,Positive
"
My husband and I had dinner here and it was amazing. Everything was absolutely delicious and cooked to perfection. The restaurant/bar is so beautiful. Combined with the music, knowledge server, and drinks; the atmosphere was exactly the new york chophouse they are going for. We will definitely be back. Don't feel guilty for spending a little more than you generally would, it's worth every penny. Easily the best meal we have ever had.",5,Positive
"
We celebrated our anniversary there last night and had a great experience!! Drinks were good. Food was even better. My favorite was definitely the Mac n cheese! Our steaks were fantastic and our server was the best! Carina did amazing!! She was very knowledgeable of the history of the restaurant and of the products. She took care of us very well on our special night. The manager stopped by and was very helpful as well. It was Tuesday night so it was slow but it was a beautiful place and deserves all the hype I hear. Definitely recommend.",5,Positive
"
Took over 2 hrs to eat! I wasn't hungry by the time the food came. Food was good but i wouldnt go back.",5,Positive
"
Most delicious lump crab cakes ever and the steak is tender and delicious.  Side dishes were not as good as they should have been given the prices and the quality of the meat and seafood entrees.",5,Positive
"
A bit spendy but can be considered an occasional or Every Sunday meal..Yet , Definitely worth every penny!  Ward was VERY Attentive and gave a nice presentation",5,Positive
"
Visited this location when I first moved to Minneapolis, have been coming back ever since! John at the bar is always welcoming and makes some darn good cocktails. The only opportunity here is that the steaks are a little inconsistent, I order mine medium well and it's always different when it comes out. Nothing that can't be fixed! Would recommend this place to anyone whether it's a date night or a solo night!",5,Positive
"
The food and atmosphere were wonderful! We got a mini lesson on meat cuts, our waiter was entertaining and informative.  Their Sunday dinner specials, including salad and dessert w/ your main course was both delicious and reasonably priced.",5,Positive
"
The Petite Filet was pretty scrumptious. The Hash Browns were fine.
Huge Restaurant Space and a vibrant spacious bar too.
Excellent Cabernet sections.",5,Positive
"
First date night in almost a year and we were so glad to have chosen 801! Amazing food and service, my husband had the prime rib and said it was the best he has ever had. I had salmon and it was delicious. Our waiter, Chadwick was extremely accommodating and knowledgeable. Would definitely recommend.",5,Positive
"
AMAZING STEAKS!!!! If you like steaks, the The 801 Chophouse is for you. I took my wife there tonight for valentine's day dinner, and it was ABSOLUTELY AMAZING!!! The service was exceptional, Matt was the best server. The staff overall is extremely polite and professional!!! We definitely will be back!!!",5,Positive
"
How can anyone compare with the 801?  It's going to be tough!  As a patron of fine restaurants,  I have to say we have seldom been so well cared for, from the very moment we stepped inside.  The booths are comfortable and private, lighting perfect, and atmosphere polite, yet friendly.  Our waiter was very attentive and professional.  We were delighted with his knowledge of different cuts of meats, and explanation of the aging process.
And the food!!!  I am a stickler for good manners, but I must say: Manny's fans... there a new place in town and wow! It's a no-brainer, head to the Chophouse.  Oh, and the onion rings, which literally melt in your mouth, are a fabulous appetizer.  My sister and I enjoyed the Fillet Mignon and Prime, which arrived hot and perfect!
This will no doubt become our favorite for anniversaries and other special dates. Thank you 801!!",5,Positive
"
Prime Rib was very good! Low light setting super clean and amazing service!",5,Positive
"
Definitely a  5 star joint!!! but bring your check book it's gonna get pricey",5,Positive
"
Never been. Surprisingly good ribeye, mushrooms, and green beans, though I make better roasted brussel sprouts. Service was phenomenal, friendly, and knowledgeable. Highly recommend, though it's obviously a bit spendy.",5,Positive
"
We celebrated our anniversary at 801 Chophouse.

From the moment we walked in the front door, we were met with a warm and welcoming experience. Everyone was genuinely kind and knowledgeable. Our waiter Michael was attentive and knowledgeable about the specials, meat types, and overall menu.

They decorated our table to commemorate our anniversary and the staff seemed genuinely happy for us, creating a familial atmosphere. Such a nice touch.

The food, cocktails, and wine were fantastic. I would definitely recommend the Tempranillo to accompany the Delmonico.

We will definitely be returning.",5,Positive
"
My Dad and I ate here while attending a convention in downtown Minniapolis. Both the food and service were excellent.  The general manager, Dannie, and our server, Baily, made sure we were taken care of. I cannot say enough good things about this establishment. I highly recommend.",5,Positive
"
Great food, Excellent service!
We visited 801 Chophouse with our friends for  couples night out. We had a great experience from beginning to end. Jorge our server was amazing! He was very friendly and professional, knowledgeable of the menu and gave us fantastic recommendations, including the delicious cocktails👍.
We really enjoyed the service and the meal.",5,Positive
"
801 is the absolute best steakhouse we've been to. Everything was perfect and delicious. The grand mariner souffle dessert is highly recommended!!",5,Positive
"
After a Business Meeting Downtown, we stumbled into 801 Chophouse by chance after multiple places were still closed. Immediately upon walking in, we were greeted with the utmost warmness and respect from Dani, the General Manager. Being our first time visiting, we were given the grand tour, and GRAND this restaurant is! Although much of the decor is catered to our local love of Minneapolis, it also has a very swanky New York steakhouse vibe. The Craft Cocktails were creative & fresh, and the Crabcakes were some of the best we’ve ever had. Known for their meat selection, we can’t wait to come back for more!

Ask for Jorge as your Server 😉 phenomenal!

In a world where service seems to be lost, and moods are admittedly down, this surprise visit to 801 Chophouse completely surpasses anything we’ve experienced this year! Highly recommend you visit 🤗

#AdventuresOfBrentAndBri",5,Positive
"
Never have we ever been to such a fancy place. Kinda felt out of our element but soon felt at home. Thank you for educating us some and being so welcoming. Truly a 5 star place and my hats off to you guys. I hope to visit again in the near future, your definitely worth the 4 hour drive down to just eat dinner!!!! Thanks again",5,Positive
"
Manny’s has held the title on the king of upscale steak restaurants in the city.  I’ve gone there faithfully for years.  I’ll now go to 801 chophouse and faithfully.   The rib eye I had the other night was nothing short of amazing.   It melted in my mouth.   We have several top notch restaurants in the city, this may well be the best.   I’ve traveled all over the world and taken many a client out for dinner to a large variety of restaurants, this may be the best one I’ve went to.  Proud to have this restaurant in my city.  Service and staff are incredible and the atmosphere is simply on another level.  I’ll be coming back!!!",5,Positive
"
A world-class steakhouse with top quality appetizers, sides and entrees. I have been to just about every upscale steak restaurant in the Twin Cities, and this one offers higher quality food and service.",5,Positive
"
Amazing food! The Mac and Cheese is the best I’ve ever had in my life. Steak was killer and crab legs no more than a day old! This is better than Manny’s and Ruth’s Chris in my opinion! It’s expensive, but well worth it!",5,Positive
"
Came here for my birthday,  top notch customer service felt special all night.  Very memorable experience.",5,Positive
"
Great atmosphere. Went two night in a row. Staff gives great service. John was awesome.",5,Positive
"
I had a great lunch experience! Sat at the bar and the bartender (Patrick) was friendly and professional. I learned a little about their meat selection and food process and came away more than impressed. Will be back for a meal and wine in the near future!",5,Positive
"
The NY striploin was delicious. The mac and cheese was also really yummy, not overly creamy or heavy. The service was also lovely!",5,Positive
"
Incredible, professional, highly polished service; steaks, seafood, highest caliber. Chadwick is a pro at table service. Can't wait to go back and try the veal chop!",5,Positive
"
Service was perfect from Valet to Table.
Food was Delicious and presented perfectly as well.
Our server Matt was funny and very informative. Will definitely come back and highly recommend the 801 Chop house",5,Positive
"
Wonderful experience from beginning to end. Lovely staff, all were very attentive and friendly. Delicious food. We especially liked how all the side dishes could be ordered in half portions so we were able to try more. Thank you!",5,Positive
"
Service was great, very knowledgeable staff.  Food was amazing, steak tartar was scrumptious.  Steak delmonico was absolutely divine!",5,Positive
"
Steaks were excellent the sides and appetizers",5,Positive
"
You're the first time going here with me and my wife and family and friends that owner finally came down for a dinner ever been there seeing it walking down the street me a chance we find went there awesome place and we're glad it that you can share steaks during share everything like family style best I can I go there again for me and my wife best food I've ever had steaks the way we like it Lobster drinks with reasonably everything I'll be looking over six hundred bucks but we didn't care he was great food great service I'd go again I'd recommend it to anybody else to go there for occasional party wedding anniversaries anything holidays all that good stuff I go there and I plan on going to get with my wife sometime just me and her great food great service book early I don't know we've got there at 6 at we stayed almost two and a half hours and it was great I go",5,Positive
