aspect,adjective,aspect_adj,predictions_overall,predictions_absa_pre
wait,worth,worth wait,Positive,Positive
place,worth,worth place,Positive,Positive
that,worth,worth that,Positive,Positive
this,worth,worth this,Neutral,Positive
price,worth,worth price,Neutral,Positive
company,worth,worth company,Neutral,Positive
cost,worth,worth cost,Positive,Positive
you,worth,worth you,Positive,Positive
it,worth,worth it,Positive,Positive
i,worth,worth i,Positive,Positive
it,worth,worth it,Positive,Positive
bell experience,worst,worst bell experience,Negative,Negative
taco bell,worst,worst taco bell,Negative,Negative
service,worst,worst service,Negative,Negative
mcdonald,worst,worst mcdonald,Negative,Negative
decision,worst,worst decision,Negative,Negative
way,worst,worst way,Negative,Negative
dunkin,worst,worst dunkin,Negative,Negative
dunkin,worst,worst dunkin,Negative,Negative
dunkin,worst,worst dunkin,Negative,Negative
customer service,worst,worst customer service,Negative,Negative
experience,worst,worst experience,Negative,Negative
experience,worst,worst experience,Negative,Negative
steak house,worst,worst steak house,Negative,Negative
food,worst,worst food,Negative,Negative
chef,worst,worst chef,Negative,Negative
steak,worst,worst steak,Negative,Negative
steak,worst,worst steak,Negative,Negative
steak,worst,worst steak,Negative,Negative
service,worst,worst service,Negative,Negative
this,worst,worst this,Negative,Negative
experience,worse,worse experience,Negative,Negative
service,worse,worse service,Negative,Negative
food,worse,worse food,Negative,Negative
location,worse,worse location,Negative,Negative
it,worse,worse it,Negative,Negative
food,worse,worse food,Negative,Negative
people,working,working people,Positive,Positive
lady,wonderful,wonderful lady,Positive,Positive
complexity,wonderful,wonderful complexity,Positive,Positive
place,wonderful,wonderful place,Positive,Positive
place,wonderful,wonderful place,Positive,Positive
front yard,wonderful,wonderful front yard,Positive,Positive
coffee spot,wonderful,wonderful coffee spot,Positive,Positive
seating,wonderful,wonderful seating,Positive,Positive
coffee shop,wonderful,wonderful coffee shop,Positive,Positive
atmosphere,wonderful,wonderful atmosphere,Positive,Positive
staff,wonderful,wonderful staff,Positive,Positive
coffee shop,wonderful,wonderful coffee shop,Positive,Positive
smell,wonderful,wonderful smell,Positive,Positive
lip,wonderful,wonderful lip,Neutral,Positive
girl,wonderful,wonderful girl,Neutral,Positive
food,wonderful,wonderful food,Positive,Positive
drink,wonderful,wonderful drink,Positive,Positive
waitress,wonderful,wonderful waitress,Positive,Positive
drink,wonderful,wonderful drink,Positive,Positive
steak,wonderful,wonderful steak,Positive,Positive
drink,wonderful,wonderful drink,Positive,Positive
food,wonderful,wonderful food,Positive,Positive
staff,wonderful,wonderful staff,Positive,Positive
thing,wonderful,wonderful thing,Positive,Positive
company,wonderful,wonderful company,Neutral,Positive
birthday,wonderful,wonderful birthday,Positive,Positive
client dinner,wonderful,wonderful client dinner,Positive,Positive
steakhouse,wonderful,wonderful steakhouse,Positive,Positive
food,wonderful,wonderful food,Positive,Positive
experience,wonderful,wonderful experience,Positive,Positive
service,wonderful,wonderful service,Positive,Positive
way,wobderful,wobderful way,Positive,Positive
i,wise,wise i,Negative,Positive
rack,wired,wired rack,Negative,Neutral
we,willing,willing we,Negative,Neutral
they,willing,willing they,Negative,Neutral
i,willing,willing i,Negative,Neutral
i,willing,willing i,Negative,Neutral
variety,wide,wide variety,Positive,Positive
food,wholesome,wholesome food,Neutral,Positive
tub,whole,whole tub,Negative,Neutral
interaction,whole,whole interaction,Negative,Neutral
coffee shop,whole,whole coffee shop,Negative,Neutral
spread,whole,whole spread,Neutral,Neutral
thing,whole,whole thing,Neutral,Neutral
cup,whole,whole cup,Positive,Neutral
bean coffee,whole,whole bean coffee,Positive,Neutral
bean coffee,whole,whole bean coffee,Positive,Neutral
mess,whole,whole mess,Negative,Negative
donut,whole,whole donut,Negative,Neutral
lunch meat,whole,whole lunch meat,Negative,Neutral
time,whole,whole time,Positive,Neutral
staff,whole,whole staff,Positive,Neutral
atmosphere,whole,whole atmosphere,Positive,Neutral
experience,whole,whole experience,Positive,Neutral
floor,whole,whole floor,Negative,Neutral
girl,white,white girl,Negative,Neutral
customer,white,white customer,Negative,Neutral
mocha latte,white,white mocha latte,Positive,Neutral
callnkatherine caramucci,white,white callnkatherine caramucci,Negative,Neutral
cream,whipped,whipped cream,Neutral,Neutral
coffee,wet,wet coffee,Positive,Neutral
cardboard,wet,wet cardboard,Negative,Negative
side,west,west side,Negative,Neutral
baristas,welcoming,welcoming baristas,Positive,Positive
they,welcoming,welcoming they,Positive,Positive
staff,welcoming,welcoming staff,Positive,Positive
staff,welcoming,welcoming staff,Positive,Positive
place,welcoming,welcoming place,Positive,Positive
staff,welcoming,welcoming staff,Positive,Positive
everyone,welcome,welcome everyone,Positive,Positive
us,welcome,welcome us,Positive,Positive
mcdonald,weirdest,weirdest mcdonald,Negative,Negative
part,weirdest,weirdest part,Neutral,Negative
coffee place,weird,weird coffee place,Negative,Negative
term,weird,weird term,Neutral,Negative
honey mustard,weird,weird honey mustard,Neutral,Negative
hour,weird,weird hour,Positive,Negative
cocktail,weak,weak cocktail,Negative,Negative
which,wayyy,wayyy which,Negative,Neutral
flavor,watery,watery flavor,Negative,Negative
time,wasted,wasted time,Negative,Negative
mind,was,was mind,Negative,Neutral
weather,warmer,warmer weather,Positive,Neutral
season,warmer,warmer season,Positive,Neutral
welcome,warm,warm welcome,Positive,Positive
heater,warm,warm heater,Positive,Positive
look,warm,warm look,Positive,Positive
tuesday morning,warm,warm tuesday morning,Positive,Positive
they,warm,warm they,Positive,Positive
soda magazine,warm,warm soda magazine,Positive,Positive
vibe,warm,warm vibe,Positive,Positive
fireplace,warm,warm fireplace,Positive,Positive
it,warm,warm it,Negative,Positive
potato,warm,warm potato,Negative,Positive
atmosphere,warm,warm atmosphere,Positive,Positive
environment,warm,warm environment,Positive,Positive
staff,warm,warm staff,Positive,Positive
place,warm,warm place,Positive,Positive
staff,warm,warm staff,Positive,Positive
experience,warm,warm experience,Positive,Positive
food,warm,warm food,Positive,Positive
food,warm,warm food,Positive,Positive
customer,walkin,walkin customer,Positive,Neutral
steak,wagu,wagu steak,Neutral,Neutral
presentation,visual,visual presentation,Positive,Neutral
customer,very,very customer,Positive,Neutral
way,very,very way,Positive,Neutral
moment,very,very moment,Positive,Neutral
machine,vending,vending machine,Negative,Neutral
chop,veal,veal chop,Positive,Neutral
lady,vary,vary lady,Negative,Neutral
state,various,various state,Negative,Neutral
job,valiant,valiant job,Positive,Positive
warmness,utmost,utmost warmness,Positive,Positive
place,usual,usual place,Positive,Neutral
coffee,usual,usual coffee,Negative,Neutral
menu,usual,usual menu,Negative,Neutral
supper cost,used,used supper cost,Negative,Negative
crew,upset,upset crew,Negative,Negative
steak restaurant,upscale,upscale steak restaurant,Positive,Positive
steak restaurant,upscale,upscale steak restaurant,Positive,Positive
individual,unwelcoming,unwelcoming individual,Negative,Negative
food,unsatisfied,unsatisfied food,Negative,Negative
bell employee,unprofessional,unprofessional bell employee,Negative,Negative
employee,unprofessional,unprofessional employee,Negative,Negative
food,unprofessional,unprofessional food,Negative,Negative
staff,unprofessional,unprofessional staff,Negative,Negative
people,unprofessional,unprofessional people,Negative,Negative
environment,unpretentious,unpretentious environment,Positive,Positive
interaction,unpleasant,unpleasant interaction,Negative,Negative
customer,unpleasant,unpleasant customer,Neutral,Negative
experience,unpleasant,unpleasant experience,Negative,Negative
experience,unpleasant,unpleasant experience,Negative,Negative
topping,unmatched,unmatched topping,Positive,Negative
standard,unmatched,unmatched standard,Positive,Negative
atmosphere,unique,unique atmosphere,Positive,Positive
egg sandwich,unique,unique egg sandwich,Positive,Positive
it,unique,unique it,Positive,Positive
coffeeshop,unique,unique coffeeshop,Positive,Positive
coffee shop,unique,unique coffee shop,Positive,Positive
nook coffee,unique,unique nook coffee,Positive,Positive
cheese,unique,unique cheese,Positive,Positive
_,unique,unique _,Positive,Positive
x000d,unique,unique x000d,Positive,Positive
ny strip steak,unique,unique ny strip steak,Positive,Positive
experience,unique,unique experience,Neutral,Positive
them,unhoused,unhoused them,Negative,Negative
folk,unhoused,unhoused folk,Negative,Negative
customer,unhappy,unhappy customer,Negative,Negative
manager,unhappy,unhappy manager,Positive,Negative
we,unhappy,unhappy we,Negative,Negative
cashier,unfriendly,unfriendly cashier,Negative,Negative
bar tender,unfriendly,unfriendly bar tender,Negative,Negative
guy,unfriendly,unfriendly guy,Negative,Negative
this,unforgivable,unforgivable this,Neutral,Neutral
vibe,unfinished,unfinished vibe,Positive,Neutral
which,unfair,unfair which,Positive,Neutral
service,unexpected,unexpected service,Positive,Positive
bartender,understanding,understanding bartender,Positive,Positive
you,understaffed,understaffed you,Negative,Negative
food,unbelievable,unbelievable food,Positive,Positive
coffee,unbeatable,unbeatable coffee,Positive,Positive
price,unbeatable,unbeatable price,Neutral,Positive
one,unacceptable,unacceptable one,Negative,Negative
minute wait,unacceptable,unacceptable minute wait,Negative,Negative
wait,unacceptable,unacceptable wait,Negative,Negative
that,unacceptable,unacceptable that,Negative,Negative
this,unacceptable,unacceptable this,Negative,Negative
budget king,typical,typical budget king,Neutral,Neutral
city,twin,twin city,Positive,Neutral
city,twin,twin city,Positive,Neutral
city,twin,twin city,Positive,Neutral
city,twin,twin city,Positive,Neutral
thing,turning,turning thing,Positive,Neutral
coffee drinking,TRUE,true coffee drinking,Negative,Neutral
experience,TRUE,true experience,Positive,Positive
steakhouse feel,traditional,traditional steakhouse feel,Positive,Positive
it,tough,tough it,Negative,Negative
cut,tough,tough cut,Negative,Negative
rib eye,tough,tough rib eye,Negative,Negative
steak,tough,tough steak,Negative,Negative
price,total,total price,Positive,Neutral
order chaos,total,total order chaos,Negative,Negative
joke,total,total joke,Negative,Negative
refresh,total,total refresh,Neutral,Positive
must,total,total must,Positive,Neutral
worker,top,top worker,Negative,Positive
notch,top,top notch,Positive,Positive
notch,top,top notch,Positive,Positive
notch,top,top notch,Positive,Positive
notch,top,top notch,Positive,Positive
priority,top,top priority,Negative,Neutral
sirloin,top,top sirloin,Negative,Positive
notch,top,top notch,Positive,Positive
everything,top,top everything,Positive,Positive
steak house,top,top steak house,Positive,Positive
meal experience,top,top meal experience,Positive,Positive
notch,top,top notch,Positive,Positive
notch restaurant,top,top notch restaurant,Positive,Positive
quality appetizer,top,top quality appetizer,Positive,Positive
customer service,top,top customer service,Positive,Positive
notch,top,top notch,Positive,Positive
bagel,toasted,toasted bagel,Negative,Neutral
i,tired,tired i,Negative,Neutral
size,tiny,tiny size,Negative,Negative
he,timely,timely he,Positive,Neutral
person,timely,timely person,Positive,Neutral
manner,timely,timely manner,Negative,Neutral
order,thru,thru order,Negative,Neutral
cashier,thru,thru cashier,Positive,Neutral
line,thru,thru line,Negative,Neutral
order,thru,thru order,Negative,Neutral
which,thoughtful,thoughtful which,Positive,Positive
it,thoughtful,thoughtful it,Positive,Positive
wave stuff,third,third wave stuff,Positive,Neutral
time,third,third time,Negative,Neutral
time,third,third time,Negative,Neutral
burger king,third,third burger king,Negative,Neutral
it,thinner,thinner it,Negative,Neutral
steak,thinner,thinner steak,Negative,Negative
piece,thin,thin piece,Negative,Negative
it,thin,thin it,Negative,Neutral
cut,thin,thin cut,Negative,Negative
sugar coat,thick,thick sugar coat,Positive,Neutral
food,terrible,terrible food,Negative,Negative
service,terrible,terrible service,Negative,Negative
service,terrible,terrible service,Negative,Negative
it,terrible,terrible it,Negative,Negative
coffee,terrible,terrible coffee,Negative,Negative
coffee,terrible,terrible coffee,Negative,Negative
customer service,terrible,terrible customer service,Neutral,Negative
customer service,terrible,terrible customer service,Negative,Negative
customer service,terrible,terrible customer service,Negative,Negative
customer service,terrible,terrible customer service,Negative,Negative
customer service,terrible,terrible customer service,Negative,Negative
location,terrible,terrible location,Negative,Negative
attitude,terrible,terrible attitude,Negative,Negative
place,terrible,terrible place,Negative,Negative
experience,terrible,terrible experience,Negative,Negative
customer service,terrible,terrible customer service,Negative,Negative
service,terrible,terrible service,Negative,Negative
quality,terrible,terrible quality,Negative,Negative
service,terrible,terrible service,Negative,Negative
service,terrible,terrible service,Negative,Negative
nugget,terrible,terrible nugget,Negative,Negative
market,terminal,terminal market,Positive,Neutral
bar patron,tender,tender bar patron,Positive,Positive
that,tender,tender that,Positive,Positive
meat,tender,tender meat,Positive,Positive
steak,tender,tender steak,Positive,Positive
service,teerible,teerible service,Negative,Negative
ordering process,tedious,tedious ordering process,Negative,Negative
food,tasty,tasty food,Positive,Positive
food,tasty,tasty food,Positive,Positive
coffee,tasty,tasty coffee,Positive,Positive
it,tasty,tasty it,Positive,Positive
nook coffee,tasty,tasty nook coffee,Positive,Positive
ice cream,tasty,tasty ice cream,Positive,Positive
which,tasty,tasty which,Positive,Positive
mussel,tasty,tasty mussel,Positive,Positive
food,tasty,tasty food,Positive,Positive
food,tasty,tasty food,Positive,Positive
sandwich,tasting,tasting sandwich,Positive,Neutral
dinner,tasteless,tasteless dinner,Negative,Negative
lunch meat,tasteless,tasteless lunch meat,Negative,Negative
college kid,tall,tall college kid,Negative,Neutral
sandwich,take,take sandwich,Positive,Neutral
gal,sweetest,sweetest gal,Positive,Positive
creamer,sweetened,sweetened creamer,Negative,Negative
cashier,sweet,sweet cashier,Positive,Positive
she,sweet,sweet she,Positive,Positive
tea,sweet,sweet tea,Positive,Positive
staff,sweet,sweet staff,Positive,Positive
ice cream,sweet,sweet ice cream,Positive,Positive
bartender,sweet,sweet bartender,Positive,Positive
waitress,sweet,sweet waitress,Positive,Positive
angela,sweet,sweet angela,Positive,Positive
she,sweet,sweet she,Positive,Positive
asparagus,sweet,sweet asparagus,Positive,Positive
steakhouse vibe,swanky,swanky steakhouse vibe,Positive,Positive
cup,sustainable,sustainable cup,Neutral,Neutral
neighborhood,surrounding,surrounding neighborhood,Positive,Neutral
i,surprised,surprised i,Positive,Neutral
boy,surprised,surprised boy,Positive,Neutral
i,surprised,surprised i,Positive,Neutral
it,surprised,surprised it,Positive,Neutral
reading,sure,sure reading,Negative,Neutral
this,sure,sure this,Negative,Neutral
peter,sure,sure peter,Positive,Neutral
eric manager,sure,sure eric manager,Positive,Neutral
i,sure,sure i,Neutral,Neutral
i,sure,sure i,Positive,Neutral
i,sure,sure i,Negative,Neutral
i,sure,sure i,Negative,Neutral
i,sure,sure i,Negative,Neutral
i,sure,sure i,Negative,Neutral
i,sure,sure i,Negative,Neutral
i,sure,sure i,Negative,Neutral
i,sure,sure i,Positive,Neutral
manager,sure,sure manager,Positive,Neutral
i,sure,sure i,Negative,Neutral
that,sure,sure that,Negative,Neutral
attention,superior,superior attention,Positive,Positive
service food,superb,superb service food,Positive,Positive
onion soup,superb,superb onion soup,Positive,Positive
place,super,super place,Positive,Neutral
service,super,super service,Negative,Positive
bowl,super,super bowl,Negative,Neutral
bar tender,super,super bar tender,Positive,Positive
energy,super,super energy,Positive,Positive
service,super,super service,Positive,Positive
atmosphere,super,super atmosphere,Positive,Positive
day,sunny,sunny day,Neutral,Neutral
front yard,sunny,sunny front yard,Positive,Neutral
tuesday morning,sunny,sunny tuesday morning,Positive,Neutral
they,sunny,sunny they,Positive,Neutral
asparagus,sugary,sugary asparagus,Positive,Neutral
employee,sufficient,sufficient employee,Negative,Positive
professionalism,such,such professionalism,Positive,Positive
service,such,such service,Negative,Neutral
attitude,such,such attitude,Negative,Neutral
behavior,such,such behavior,Neutral,Neutral
service,such,such service,Negative,Neutral
service,such,such service,Positive,Neutral
icecream,subpar,subpar icecream,Negative,Positive
meadowlands,subpar,subpar meadowlands,Negative,Neutral
food,sublime,sublime food,Positive,Positive
restaurant,stylish,stylish restaurant,Positive,Positive
restaurant,stunning,stunning restaurant,Positive,Positive
service,stunning,stunning service,Positive,Positive
brew,strong,strong brew,Positive,Positive
coffee,strong,strong coffee,Positive,Positive
you,strong,strong you,Positive,Neutral
drink,strong,strong drink,Positive,Positive
drink,strong,strong drink,Positive,Positive
drink,strong,strong drink,Positive,Positive
employee,stressed,stressed employee,Negative,Negative
location,strange,strange location,Negative,Negative
they,straight,straight they,Positive,Neutral
face,straight,straight face,Negative,Neutral
cappuccino,stiff,stiff cappuccino,Positive,Negative
drink,stiff,stiff drink,Positive,Negative
table,sticky,sticky table,Negative,Negative
floor,sticky,sticky floor,Negative,Negative
place,sterile,sterile place,Positive,Negative
veggie,steamed,steamed veggie,Positive,Neutral
i,standard,standard i,Positive,Neutral
it,standard,standard it,Positive,Neutral
urine,stale,stale urine,Negative,Negative
marshmallow,stale,stale marshmallow,Negative,Negative
brew coffee,stale,stale brew coffee,Neutral,Negative
apple fritter,stale,stale apple fritter,Neutral,Negative
place,stale,stale place,Negative,Negative
atmosphere,sportsbar,sportsbar atmosphere,Positive,Neutral
it,spicy,spicy it,Neutral,Neutral
chicken sandwich,spicy,spicy chicken sandwich,Negative,Neutral
it,spendy,spendy it,Positive,Neutral
service,speedy,speedy service,Positive,Positive
they,speedy,speedy they,Positive,Positive
coffee,spectacular,spectacular coffee,Positive,Positive
food,spectacular,spectacular food,Positive,Positive
coffee,specific,specific coffee,Positive,Neutral
location,specific,specific location,Negative,Neutral
coffee fix,specific,specific coffee fix,Positive,Neutral
coffee flavor,specific,specific coffee flavor,Positive,Neutral
request,special,special request,Positive,Neutral
table,special,special table,Positive,Neutral
event,special,special event,Neutral,Neutral
customer,special,special customer,Positive,Neutral
need,special,special need,Positive,Neutral
occasion,special,special occasion,Positive,Neutral
occasion,special,special occasion,Positive,Neutral
occasion dinner,special,special occasion dinner,Positive,Neutral
occasion,special,special occasion,Positive,Neutral
night,special,special night,Positive,Neutral
notch customer service,special,special notch customer service,Positive,Neutral
martini,special,special martini,Positive,Neutral
woman,special,special woman,Positive,Neutral
coffee,spanish,spanish coffee,Positive,Neutral
interior,spacious,spacious interior,Negative,Positive
mcd,spacious,spacious mcd,Positive,Positive
table,spacious,spacious table,Positive,Positive
area,spacious,spacious area,Positive,Positive
patio,spacious,spacious patio,Positive,Positive
outdoor,spacious,spacious outdoor,Positive,Positive
coffee,spacing,spacing coffee,Positive,Positive
cream,sour,sour cream,Negative,Neutral
cream,sour,sour cream,Negative,Neutral
ice cream,soupy,soupy ice cream,Negative,Neutral
mine,sound,sound mine,Negative,Neutral
i,sorry,sorry i,Negative,Neutral
location,sorry,sorry location,Negative,Neutral
doritos taco,sorry,sorry doritos taco,Negative,Neutral
i,sorry,sorry i,Positive,Neutral
who,sorry,sorry who,Negative,Neutral
we,sorry,sorry we,Negative,Neutral
we,sorry,sorry we,Negative,Neutral
waiter,sophisticated,sophisticated waiter,Positive,Positive
it,soooo,soooo it,Positive,Neutral
rude,soooo,soooo rude,Negative,Negative
quality cup,solid,solid quality cup,Negative,Positive
drink menu,solid,solid drink menu,Positive,Positive
coffee shop,solid,solid coffee shop,Positive,Positive
cup,solid,solid cup,Positive,Neutral
star,solid,solid star,Positive,Neutral
taco,soft,soft taco,Negative,Neutral
drink,soft,soft drink,Negative,Neutral
drink,soft,soft drink,Negative,Neutral
distancing,social,social distancing,Positive,Neutral
space,social,social space,Positive,Neutral
distance,social,social distance,Positive,Neutral
distancing,social,social distancing,Positive,Neutral
distancing,social,social distancing,Positive,Neutral
it,smooth,smooth it,Positive,Neutral
coffee,smooth,smooth coffee,Positive,Positive
it,smaller,smaller it,Negative,Neutral
thing,small,small thing,Negative,Neutral
thing,small,small thing,Negative,Neutral
service,small,small service,Positive,Neutral
play area,small,small play area,Positive,Neutral
it,small,small it,Positive,Neutral
latte,small,small latte,Negative,Neutral
business,small,small business,Negative,Neutral
salad,small,small salad,Negative,Neutral
salad,small,small salad,Negative,Neutral
staff count,small,small staff count,Neutral,Neutral
it,small,small it,Neutral,Neutral
batch,small,small batch,Positive,Neutral
menu,small,small menu,Positive,Neutral
finger food,small,small finger food,Positive,Neutral
food,small,small food,Positive,Neutral
meal,small,small meal,Positive,Neutral
pet,small,small pet,Positive,Neutral
place,small,small place,Positive,Neutral
breakfast item,small,small breakfast item,Positive,Neutral
roaster,small,small roaster,Positive,Neutral
location,small,small location,Positive,Neutral
meaning,small,small meaning,Neutral,Neutral
portion,small,small portion,Negative,Negative
piece,small,small piece,Negative,Neutral
restaurant atmosphere,small,small restaurant atmosphere,Positive,Neutral
place,small,small place,Positive,Neutral
head,small,small head,Neutral,Neutral
side,small,small side,Positive,Negative
drink,small,small drink,Negative,Negative
meal,small,small meal,Negative,Negative
menu food,small,small menu food,Negative,Negative
service,slowest,slowest service,Negative,Negative
worker,slowest,slowest worker,Negative,Negative
service,slow,slow service,Negative,Negative
service,slow,slow service,Negative,Negative
service,slow,slow service,Negative,Negative
they,slow,slow they,Negative,Negative
service,slow,slow service,Neutral,Negative
line,slow,slow line,Negative,Negative
service,slow,slow service,Negative,Negative
they,slow,slow they,Negative,Negative
staff,slow,slow staff,Negative,Negative
service,slow,slow service,Negative,Negative
person,slow,slow person,Negative,Negative
she,slow,slow she,Negative,Negative
service,slow,slow service,Negative,Negative
line,slow,slow line,Negative,Negative
service,slow,slow service,Positive,Negative
service,slow,slow service,Neutral,Negative
service,slow,slow service,Negative,Negative
service,slow,slow service,Neutral,Negative
service,slow,slow service,Neutral,Negative
service,slow,slow service,Neutral,Negative
drink service,slow,slow drink service,Negative,Negative
it,slow,slow it,Positive,Negative
he,slow,slow he,Negative,Negative
customer service,slow,slow customer service,Negative,Negative
they,slow,slow they,Negative,Negative
service,slow,slow service,Negative,Negative
service,slow,slow service,Negative,Negative
thru service,slow,slow thru service,Negative,Negative
pickup,slow,slow pickup,Neutral,Negative
food,sloppy,sloppy food,Negative,Negative
food,sloppy,sloppy food,Negative,Negative
floor,slippery,slippery floor,Negative,Negative
attitude,slight,slight attitude,Negative,Neutral
he,skilled,skilled he,Positive,Neutral
individual,sketchy,sketchy individual,Positive,Negative
dog,sketchy,sketchy dog,Positive,Negative
dog treat box,sketchy,sketchy dog treat box,Positive,Negative
video game,skate,skate video game,Neutral,Neutral
order,single,single order,Negative,Neutral
sauce,single,single sauce,Negative,Neutral
one,single,single one,Negative,Neutral
guy,single,single guy,Positive,Neutral
detail,single,single detail,Positive,Neutral
order,simple,simple order,Negative,Neutral
way,simple,simple way,Negative,Neutral
food,simple,simple food,Negative,Neutral
way,simple,simple way,Positive,Neutral
food,simple,simple food,Neutral,Neutral
i,simple,simple i,Neutral,Neutral
sandwich,simple,simple sandwich,Negative,Neutral
level,similar,similar level,Negative,Neutral
me,sick,sick me,Negative,Neutral
i,sick,sick i,Negative,Neutral
issue,sick,sick issue,Negative,Neutral
who,sick,sick who,Negative,Neutral
you,sick,sick you,Negative,Neutral
chicken,shredded,shredded chicken,Negative,Neutral
cheese,shredded,shredded cheese,Negative,Neutral
it,short,short it,Positive,Neutral
she,short,short she,Negative,Neutral
time period,short,short time period,Negative,Neutral
staff,short,short staff,Neutral,Neutral
amount,short,short amount,Positive,Neutral
walking distance,short,short walking distance,Positive,Neutral
i,shocked,shocked i,Negative,Neutral
it,sharp,sharp it,Positive,Neutral
that,shameful,shameful that,Negative,Negative
clientele,shady,shady clientele,Negative,Negative
minute,several,several minute,Negative,Neutral
thing,several,several thing,Positive,Neutral
sandwich,several,several sandwich,Positive,Neutral
option,several,several option,Positive,Neutral
coffee,several,several coffee,Positive,Neutral
customer,several,several customer,Negative,Neutral
minute,several,several minute,Negative,Neutral
time,several,several time,Negative,Neutral
everything,several,several everything,Positive,Neutral
notch restaurant,several,several notch restaurant,Positive,Neutral
people,several,several people,Neutral,Neutral
lady,set,set lady,Positive,Neutral
woman,set,set woman,Positive,Neutral
mix,serving,serving mix,Negative,Neutral
room,seperate,seperate room,Positive,Neutral
item,second,second item,Negative,Neutral
half,second,second half,Positive,Neutral
time,second,second time,Positive,Neutral
person,second,second person,Negative,Neutral
time,second,second time,Negative,Neutral
look,second,second look,Positive,Neutral
area,seating,seating area,Neutral,Neutral
option,seating,seating option,Positive,Neutral
eye medium,seasoned,seasoned eye medium,Positive,Neutral
temperature,seasoned,seasoned temperature,Positive,Neutral
which,seasonal,seasonal which,Negative,Neutral
mushrooms buyer,seasonal,seasonal mushrooms buyer,Negative,Neutral
which,scrumptous,scrumptous which,Positive,Neutral
cream cupcake,scrumptious,scrumptious cream cupcake,Positive,Positive
filet,scrumptious,scrumptious filet,Positive,Positive
steak tartar,scrumptious,scrumptious steak tartar,Positive,Positive
shoestring cut,scrawny,scrawny shoestring cut,Negative,Negative
bathroom,scary,scary bathroom,Neutral,Negative
place,scary,scary place,Neutral,Negative
wine,scarlet,scarlet wine,Positive,Neutral
guy,scammer,scammer guy,Negative,Neutral
potato,scallop,scallop potato,Positive,Neutral
it,satisfying,satisfying it,Positive,Neutral
you,satisfied,satisfied you,Positive,Neutral
blvd,sandy,sandy blvd,Positive,Neutral
strip,sandy,sandy strip,Positive,Neutral
company,same,same company,Negative,Neutral
lady,same,same lady,Negative,Neutral
amount,same,same amount,Negative,Neutral
distance,same,same distance,Negative,Neutral
price,same,same price,Negative,Neutral
garbage food,same,same garbage food,Negative,Negative
thing,same,same thing,Negative,Neutral
time,same,same time,Negative,Neutral
